entry,at,num_@,player_name,hand_num,phase,action,num_players,rank-A1,rank-A2,rank-P0,rank-P1,rank-P2,position_tag,time_elapsed,_amount,put_in,pot_size
"The player ""Loi @ 6KDaksPWKW"" requested a seat.",2021-11-13 11:32:18.923000+00:00,1,"""Loi @ 6KDaksPWKW""",,,,,,,,,,,,,,
"The admin approved the player ""Loi @ 6KDaksPWKW"" participation with a stack of 10000.",2021-11-13 11:32:18.923000+00:00,1,"""Loi @ 6KDaksPWKW""",,,,,,,,,,,0.0,,,
"The player ""Lelouch @ wNYgotQI9c"" requested a seat.",2021-11-13 11:43:02.993000+00:00,1,"""Lelouch @ wNYgotQI9c""",,,,,,,,,,,644.07,,,
"The player ""HoangLanHN @ Kgof11uGzY"" requested a seat.",2021-11-13 11:44:25.022000+00:00,1,"""HoangLanHN @ Kgof11uGzY""",,,,,,,,,,,82.029,,,
"The player ""HATuan @ Yf-9wDC92J"" requested a seat.",2021-11-13 11:46:23.538000+00:00,1,"""HATuan @ Yf-9wDC92J""",,,,,,,,,,,118.516,,,
"The player ""Dory @ NaZSSnTRkj"" requested a seat.",2021-11-13 11:54:39.031000+00:00,1,"""Dory @ NaZSSnTRkj""",,,,,,,,,,,495.493,,,
"The admin approved the player ""Lelouch @ wNYgotQI9c"" participation with a stack of 50.00.",2021-11-13 11:59:31.804000+00:00,1,"""Lelouch @ wNYgotQI9c""",,,,,,,,,,,292.773,,,
"The admin approved the player ""HoangLanHN @ Kgof11uGzY"" participation with a stack of 50.00.",2021-11-13 11:59:34.041000+00:00,1,"""HoangLanHN @ Kgof11uGzY""",,,,,,,,,,,2.237,,,
"The admin approved the player ""HATuan @ Yf-9wDC92J"" participation with a stack of 40.00.",2021-11-13 11:59:36.742000+00:00,1,"""HATuan @ Yf-9wDC92J""",,,,,,,,,,,2.701,,,
"The admin approved the player ""Dory @ NaZSSnTRkj"" participation with a stack of 60.00.",2021-11-13 11:59:39.238000+00:00,1,"""Dory @ NaZSSnTRkj""",,,,,,,,,,,2.496,,,
"-- starting hand #1  (No Limit Texas Hold'em) (dealer: ""Dory @ NaZSSnTRkj"") --",2021-11-13 12:04:41.259000+00:00,1,"""Dory @ NaZSSnTRkj""",1,Pre-flop,Dealer,,1.0,1.0,1.0,1.0,,Dealer,0,,,
"The player ""HoangLanHN @ Kgof11uGzY"" joined the game with a stack of 50.00.",2021-11-13 12:04:41.259000+00:00,1,"""HoangLanHN @ Kgof11uGzY""",1,Pre-flop,,,,,,,,,0.0,50.0,,
"The player ""Lelouch @ wNYgotQI9c"" joined the game with a stack of 50.00.",2021-11-13 12:04:41.259000+00:00,1,"""Lelouch @ wNYgotQI9c""",1,Pre-flop,,,,,,,,,0.0,50.0,,
"The player ""Loi @ 6KDaksPWKW"" joined the game with a stack of 100.00.",2021-11-13 12:04:41.259000+00:00,1,"""Loi @ 6KDaksPWKW""",1,Pre-flop,,,,,,,,,0.0,100.0,,
"The player ""HATuan @ Yf-9wDC92J"" joined the game with a stack of 40.00.",2021-11-13 12:04:41.259000+00:00,1,"""HATuan @ Yf-9wDC92J""",1,Pre-flop,,,,,,,,,0.0,40.0,,
"The player ""Dory @ NaZSSnTRkj"" joined the game with a stack of 60.00.",2021-11-13 12:04:41.259000+00:00,1,"""Dory @ NaZSSnTRkj""",1,Pre-flop,,,,,,,,Dealer,0.0,60.0,,
"Player stacks: #1 ""HoangLanHN @ Kgof11uGzY"" (50.00) | #4 ""Lelouch @ wNYgotQI9c"" (50.00) | #5 ""Loi @ 6KDaksPWKW"" (100.00) | #8 ""HATuan @ Yf-9wDC92J"" (40.00) | #9 ""Dory @ NaZSSnTRkj"" (60.00)",2021-11-13 12:04:41.259000+00:00,5,,1,Pre-flop,,5.0,,,,,,,0.0,50.0,,
"""HoangLanHN @ Kgof11uGzY"" posts a small blind of 0.10",2021-11-13 12:04:41.269000+00:00,1,"""HoangLanHN @ Kgof11uGzY""",1,Pre-flop,Small blind,5.0,2.0,1.0,1.0,1.0,1.0,EP,0.01,0.1,0.1,0.1
"""Lelouch @ wNYgotQI9c"" posts a big blind of 0.20",2021-11-13 12:04:41.279000+00:00,1,"""Lelouch @ wNYgotQI9c""",1,Pre-flop,Big blind,5.0,3.0,1.0,1.0,1.0,1.0,MP,0.01,0.2,0.2,0.30000000000000004
"""Loi @ 6KDaksPWKW"" calls 0.20",2021-11-13 12:04:45.830000+00:00,1,"""Loi @ 6KDaksPWKW""",1,Pre-flop,Calls,5.0,4.0,1.0,1.0,1.0,1.0,MP,4.551,0.2,0.2,0.5
"""HATuan @ Yf-9wDC92J"" folds",2021-11-13 12:04:47.272000+00:00,1,"""HATuan @ Yf-9wDC92J""",1,Pre-flop,Folds,4.0,5.0,1.0,1.0,1.0,1.0,LP,1.442,,,
"""Dory @ NaZSSnTRkj"" folds",2021-11-13 12:04:55.541000+00:00,1,"""Dory @ NaZSSnTRkj""",1,Pre-flop,Folds,3.0,6.0,2.0,2.0,1.0,1.0,Dealer,8.269,,,
"""HoangLanHN @ Kgof11uGzY"" folds",2021-11-13 12:05:26.448000+00:00,1,"""HoangLanHN @ Kgof11uGzY""",1,Pre-flop,Folds,2.0,7.0,3.0,2.0,1.0,1.0,EP,30.907,,,
"The admin ""Loi @ 6KDaksPWKW"" forced the player ""HoangLanHN @ Kgof11uGzY"" to away mode in the next hand.",2021-11-13 12:05:34.426000+00:00,2,,1,Pre-flop,,2.0,,,,,,,7.978,,,
"""Lelouch @ wNYgotQI9c"" checks",2021-11-13 12:05:44.314000+00:00,1,"""Lelouch @ wNYgotQI9c""",1,Pre-flop,Checks,2.0,8.0,1.0,2.0,1.0,1.0,MP,9.888,,,
"Flop:  [7♣, 8♦, K♥]",2021-11-13 12:05:45.182000+00:00,0,,1,Flop,,2.0,,,,,,,0.868,,,
"""Lelouch @ wNYgotQI9c"" checks",2021-11-13 12:05:52.082000+00:00,1,"""Lelouch @ wNYgotQI9c""",1,Flop,Checks,2.0,1.0,1.0,1.0,1.0,1.0,MP,6.9,,,
"""Loi @ 6KDaksPWKW"" checks",2021-11-13 12:05:56.350000+00:00,1,"""Loi @ 6KDaksPWKW""",1,Flop,Checks,2.0,2.0,2.0,1.0,1.0,1.0,MP,4.268,,,
"Turn: 7♣, 8♦, K♥ [A♠]",2021-11-13 12:05:57.197000+00:00,0,,1,Turn,,2.0,,,,,,,0.847,,,
"""Lelouch @ wNYgotQI9c"" checks",2021-11-13 12:06:05.233000+00:00,1,"""Lelouch @ wNYgotQI9c""",1,Turn,Checks,2.0,1.0,1.0,1.0,1.0,1.0,MP,8.036,,,
"""Loi @ 6KDaksPWKW"" bets 0.20",2021-11-13 12:06:12.900000+00:00,1,"""Loi @ 6KDaksPWKW""",1,Turn,Bets/Raises,2.0,2.0,1.0,1.0,1.0,1.0,MP,7.667,0.2,0.2,0.7000000000000001
"""Lelouch @ wNYgotQI9c"" calls 0.20",2021-11-13 12:06:16.727000+00:00,1,"""Lelouch @ wNYgotQI9c""",1,Turn,Calls,2.0,3.0,1.0,2.0,1.0,1.0,MP,3.827,0.2,0.2,0.9
"River: 7♣, 8♦, K♥, A♠ [Q♥]",2021-11-13 12:06:17.611000+00:00,0,,1,River,,2.0,,,,,,,0.884,,,
"""Lelouch @ wNYgotQI9c"" checks",2021-11-13 12:06:19.370000+00:00,1,"""Lelouch @ wNYgotQI9c""",1,River,Checks,2.0,1.0,1.0,1.0,1.0,1.0,MP,1.759,,,
"""Loi @ 6KDaksPWKW"" bets 0.40",2021-11-13 12:06:30.237000+00:00,1,"""Loi @ 6KDaksPWKW""",1,River,Bets/Raises,2.0,2.0,1.0,1.0,1.0,1.0,MP,10.867,0.4,0.4,1.3
"""Lelouch @ wNYgotQI9c"" calls 0.40",2021-11-13 12:06:32.786000+00:00,1,"""Lelouch @ wNYgotQI9c""",1,River,Calls,2.0,3.0,1.0,2.0,1.0,1.0,MP,2.549,0.4,0.4,1.7000000000000002
