"Flop:  [3♦, Q♠, 7♥]",2021-11-06 13:40:55.915,163620605591500,2021-11-06
"Flop:  [4♠, 4♥, J♥]",2021-11-06 13:45:09.587,163620630958700,2021-11-06
"Flop:  [10♠, 7♠, K♥]",2021-11-06 13:46:36.125,163620639612500,2021-11-06
"Flop:  [A♥, 6♥, Q♠]",2021-11-06 13:47:46.070,163620646607000,2021-11-06
"Flop:  [5♥, 3♦, 7♣]",2021-11-06 13:48:28.864,163620650886400,2021-11-06
"Flop:  [Q♥, 8♣, 7♥]",2021-11-06 13:50:51.553,163620665155300,2021-11-06
"Flop:  [3♠, 7♥, 3♦]",2021-11-06 13:52:34.387,163620675438700,2021-11-06
"Flop:  [10♣, 6♦, 4♦]",2021-11-06 13:54:02.746,163620684274600,2021-11-06
"Flop:  [5♦, 10♥, 6♠]",2021-11-06 13:55:48.493,163620694849300,2021-11-06
"Flop:  [A♣, 7♦, 7♥]",2021-11-06 13:57:04.898,163620702489800,2021-11-06
"Flop:  [7♠, K♦, A♣]",2021-11-06 13:58:16.484,163620709648400,2021-11-06
"Flop:  [A♠, 4♦, 2♥]",2021-11-06 14:00:09.579,163620720957900,2021-11-06
"Flop:  [5♥, Q♣, 6♦]",2021-11-06 14:02:10.744,163620733074400,2021-11-06
"Flop:  [9♥, 6♣, 9♦]",2021-11-06 14:03:07.897,163620738789700,2021-11-06
"Flop:  [10♣, 5♥, 6♦]",2021-11-06 14:03:57.875,163620743787500,2021-11-06
"Flop:  [4♠, 3♥, 9♠]",2021-11-06 14:06:18.853,163620757885300,2021-11-06
"Flop:  [9♠, J♠, 10♣]",2021-11-06 14:08:00.957,163620768095700,2021-11-06
"Flop:  [J♦, 7♣, A♣]",2021-11-06 14:12:37.690,163620795769000,2021-11-06
"Flop:  [3♦, Q♣, 8♥]",2021-11-06 14:14:25.719,163620806571900,2021-11-06
"Flop:  [2♦, 4♥, Q♥]",2021-11-06 14:15:47.540,163620814754000,2021-11-06
"Flop:  [10♥, 5♣, J♠]",2021-11-06 14:17:47.673,163620826767300,2021-11-06
"Flop:  [Q♦, 9♣, K♣]",2021-11-06 14:18:56.285,163620833628500,2021-11-06
"Flop:  [4♣, 6♣, 9♣]",2021-11-06 14:19:40.594,163620838059400,2021-11-06
"Flop:  [9♥, K♠, 2♠]",2021-11-06 14:21:42.868,163620850286800,2021-11-06
